STID;Sample_IDs;CombID;Host;Inoculant;Condition;Salt_conc;Soil;Media;Rreplicate;Picture;Root_tube;Nodule_Tube;RootCondition;PlantCondition_bin;PHID;Number_of_branch;Number_of_leaf;Length;RootLength;PotCondition;PlantCondition;Inoculant_Condition;Host_Inoculant_Condition;Project;ExperimentField;Collected_data_sereal;Type;Inoculant_Collected_day;Date entered;;;;
STID2;MB841;3;GIFU;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;5;1119;1119;Good;Good;PH841;1;2;10,40255;53,36954;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB842;3;GIFU;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;5;1120;1120;Good;Good;PH842;1;2;9,03239;49,08684;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB843;3;GIFU;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;5;1121;1121;Good;Good;PH843;1;1;6,1791;40,48905;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB844;3;GIFU;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;5;1122;1122;Good;Good;PH844;1;1;8,19113;38,00392;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB845;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1123;1123;Bad;Bad;PH845;1;1;3,55631;9,22228;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB846;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1124;1124;Bad;Bad;PH846;1;0;4,48032;6,61389;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB847;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1125;1125;Bad;Bad;PH847;1;0;5,86046;8,68446;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB848;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1126;1126;Bad;Bad;PH848;1;0;4,08759;8,57691;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB849;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1127;1127;Bad;Bad;PH849;1;0;12,81527;8,68446;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB850;129;MG68;MC4;SALT;Salt:150;Vermiculite;B_and_D;2;6;1128;1128;None;None;PH850;0;0;0;0;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB851;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1129;1129;Good;Good;PH851;1;4;14,92966;61,31486;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB852;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1130;1130;Good;Good;PH852;1;5;35,54351;145,12531;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB853;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1131;1131;Good;Good;PH853;1;5;33,71575;166,76984;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB854;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1132;1132;Good;Good;PH854;2;9;79,15526;144,06303;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB855;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1133;1133;Good;Good;PH855;1;6;47,50573;145,88026;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB856;77;MG46;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;7;1134;1134;Good;Good;PH856;1;5;37,35328;155,10907;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB857;158;MG46;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;8;1135;1135;Good;Good;PH857;1;5;27,39076;70,59318;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
